Titulo,Link,Data_Coleta,Fonte
Especialista de Produtos de Dados (Cientista de Dados),https://www.adzuna.com.br/land/ad/5729422899?se=hEBQi5hl8RGtfJE5OTgaVg&title=Especialista_de_Produtos_de_Dados_%28Cientista_de_Dados%29&v=D25079247398D99AB591F070EFCD8087763E18E6,2026-06-11,adzuna
Arquiteto de Dados,https://www.adzuna.com.br/land/ad/5744063420?se=hEBQi5hl8RGtfJE5OTgaVg&title=Arquiteto_de_Dados&v=0245CB9A1E0D3AA270C2FAE6DC598CEEA9EAB73E,2026-06-11,adzuna
Analista de dados,https://www.adzuna.com.br/land/ad/5758781191?se=hEBQi5hl8RGtfJE5OTgaVg&title=Analista_de_dados&v=82DC7BFE38EE8EF7A5504055267FA47AA1698D88,2026-06-11,adzuna
Arquiteto Dados,https://www.adzuna.com.br/land/ad/5753411673?se=hEBQi5hl8RGtfJE5OTgaVg&title=Arquiteto_Dados&v=97C95EC21EFBF2D365BA1527312D3489E4FD6C4E,2026-06-11,adzuna
Especialista de Dados,https://www.adzuna.com.br/land/ad/5732487135?se=hEBQi5hl8RGtfJE5OTgaVg&title=Especialista_de_Dados&v=CBFBE3D92ED3BBC9F7821D7777704CB91309F40E,2026-06-11,adzuna
Engenheiro de dados,https://www.adzuna.com.br/land/ad/5753411603?se=hEBQi5hl8RGtfJE5OTgaVg&title=Engenheiro_de_dados&v=A7889CFCE622F4BC4ED03D2DBC2FC4C8E09DB79D,2026-06-11,adzuna
Engenheiro de dados,https://www.adzuna.com.br/land/ad/5737850614?se=hEBQi5hl8RGtfJE5OTgaVg&title=Engenheiro_de_dados&v=7D1AC7ACB887B313235B884A18AA5F49B232CAB0,2026-06-11,adzuna
Engenheiro de dados,https://www.adzuna.com.br/land/ad/5730479315?se=hEBQi5hl8RGtfJE5OTgaVg&title=Engenheiro_de_dados&v=63F3BACA72D8543E9568304EECAFAA5459B84B14,2026-06-11,adzuna
Engenheiro (a) de dados,https://www.adzuna.com.br/land/ad/5730479268?se=hEBQi5hl8RGtfJE5OTgaVg&title=Engenheiro_%28a%29_de_dados&v=2D9D236983E2114109B9872173BE061F51C2C064,2026-06-11,adzuna
Analista de Dados,https://www.adzuna.com.br/land/ad/5758778113?se=hEBQi5hl8RGtfJE5OTgaVg&title=Analista_de_Dados&v=9C2BDF553DA1AA10F405ABB37E94ACA4C379FD7D,2026-06-11,adzuna
Analista de dados,https://www.adzuna.com.br/land/ad/5737850162?se=eFrni5hl8RG_VYhltYwHwQ&title=Analista_de_dados&v=2C78CEF43F8ED0628129BB256299EDF10CDECB9C,2026-06-11,adzuna
Cientista de Dados,https://www.adzuna.com.br/land/ad/5755633050?se=eFrni5hl8RG_VYhltYwHwQ&title=Cientista_de_Dados&v=9A8243004B1F838316C821DA6C47481CE5837885,2026-06-11,adzuna
Engenheiro de dados,https://www.adzuna.com.br/land/ad/5731853527?se=eFrni5hl8RG_VYhltYwHwQ&title=Engenheiro_de_dados&v=B270E6C63477AA3E4BF892E1372BDD1F6FADAE62,2026-06-11,adzuna
Cientista de Dados,https://www.adzuna.com.br/land/ad/5755632927?se=eFrni5hl8RG_VYhltYwHwQ&title=Cientista_de_Dados&v=DC752CD6777DE354E6C5878B344CD3F2ECCD3083,2026-06-11,adzuna
Cientista de dados,https://www.adzuna.com.br/land/ad/5736683972?se=eFrni5hl8RG_VYhltYwHwQ&title=Cientista_de_dados&v=3A9D8757D79EFE7A72B7C115496B625F07CE035E,2026-06-11,adzuna
