Titulo,Salario_Medio,Salario_Min,Salario_Max,Salario_Texto,Data_Publicacao,Requisitos,Link,Status
Especialista em Ciência de Dados,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5697205908?se=zNymjt5A8RGITtGXy_VcwQ&title=Especialista_em_Ci%C3%AAncia_de_Dados&v=514B500D061FB83F442EB260F332EDA18CB5682A,ok
"Bolsista Mestre [Ciência da Computação, TI, Engenharias] - BALL AEROSOL",,,,Não informado,,,https://www.adzuna.com.br/details/5139965064,ok
ANALISTA DE DADOS,34500.0,34000.0,35000.0,"3400,0 - 3500,0",,,https://www.adzuna.com.br/details/5621629728,ok
"Bolsista Doutor - [Matemática, Ciência de Dados, Administração, Economia, correlatas] - BRADESCO",,,,Não informado,,,https://www.adzuna.com.br/details/5489220324,ok
Estágio em Dados,2075.0,1800.0,2350.0,"R$1.800,00 - R$2.350",,,https://www.adzuna.com.br/details/5397724917,ok
Ciência de Dados & IA,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5689936584?se=zNymjt5A8RGITtGXy_VcwQ&title=Ci%C3%AAncia_de_Dados_%26_IA&v=F5FDE29CCD84CB387074149485E36986EB3D5B0F,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/4131459788,ok
"Bolsista Doutor [Matemática, Ciência de Dados, Bioinformática, Engenharias] - SUZANO S.A.",,,,Não informado,,,https://www.adzuna.com.br/details/5535001690,ok
Analista de Dados | Produtos Digitais Shared - Sênior,,,,Não informado,,,https://www.adzuna.com.br/details/5696058110,ok
Analista de Dados,,,,Não informado,,,https://www.adzuna.com.br/details/5700431754,ok
Ciência de Dados,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5688432977?se=zNymjt5A8RGITtGXy_VcwQ&title=Ci%C3%AAncia_de_Dados&v=8FE569917A5C47FDD75191BF99BF799BBC6F7AA9,ok
"Bolsista Mestre - [Ciências Biológicas, Agronomia] - OXITENO S.A.",,,,Não informado,,,https://www.adzuna.com.br/details/4805740856,ok
"Bolsista Graduado [Matemática, Ciência de dados, Bioinformática e Engenharia] - SUZANO S.A",,,,Não informado,,,https://www.adzuna.com.br/details/3446763439,ok
"Bolsista Graduado [Matemática, Ciência de dados, Bioinformática e Engenharia] - SUZANO S.A",,,,Não informado,,,https://www.adzuna.com.br/details/4934572024,ok
"Bolsista Graduado [Ciência de dados, Sistemas de informação, Administração, Engenharias] TECBAN",,,,Não informado,,,https://www.adzuna.com.br/details/5489220352,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/5533886426,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/4131459788,ok
Cientista de dados,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5681940963?se=zNymjt5A8RGITtGXy_VcwQ&title=Cientista_de_dados&v=DEA20C8A646EC368A23DD0E2935F689400529F07,ok
Cientista de Dados Sênior Data & Ai,,,,Não informado,,,https://www.adzuna.com.br/details/5700414591,ok
"Bolsista Doutor - [Matemática, Ciência de Dados, Administração, Economia, correlatas] - BRADESCO",,,,Não informado,,,https://www.adzuna.com.br/details/4558755722,ok
"Bolsista Graduado [Matemática, Ciência de dados, Bioinformática e Engenharia] - SUZANO S.A",,,,Não informado,,,https://www.adzuna.com.br/details/3446763439,ok
Analista de Dados,,,,Não informado,,,https://www.adzuna.com.br/details/5700431754,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/5533886426,ok
Profissional de Liderança de Ciência de Dados,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5095061193?se=zNymjt5A8RGITtGXy_VcwQ&title=Profissional_de_Lideran%C3%A7a_de_Ci%C3%AAncia_de_Dados&v=62A816673ADC0236CEF4A035697EE769CDC72D2E,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/4131459788,ok
Cientista de Dados - Vaga afirmativa também para o público PCD,,,,Não informado,,,https://www.adzuna.com.br/details/5662120600,ok
"Bolsista Graduado [Ciência de dados, Sistemas de informação, Administração, Engenharias] TECBAN",,,,Não informado,,,https://www.adzuna.com.br/details/4810243456,ok
"Bolsista Doutor [Matemática, Ciência de Dados, Bioinformática, Engenharias] - SUZANO S.A.",,,,Não informado,,,https://www.adzuna.com.br/details/3896787424,ok
"Estágio em Ciência de Dados - Híbrido, SP | Idas pontuais ao escritório",,,,Não informado,,,https://www.adzuna.com.br/details/5655209645,ok
"Estágio em Ciência de Dados - Híbrido, SP | Idas pontuais ao escritório",,,,Não informado,,,https://www.adzuna.com.br/details/5655209645,ok
Engenheiro de dados,,,,Não informado,,,https://www.adzuna.com.br/land/ad/5670957862?se=zNymjt5A8RGITtGXy_VcwQ&title=Engenheiro_de_dados&v=69A5DC5A9CFC8EFB419886F2DC9A5DB03593AE3A,ok
"Bolsista Mestre - [Administração, Ciências de Dados, Engenharias, correlatas] - NESTLÉ BRASIL",,,,Não informado,,,https://www.adzuna.com.br/details/5533886426,ok
"Bolsista Graduado [Ciência de dados, Sistemas de informação, Administração, Engenharias] TECBAN",,,,Não informado,,,https://www.adzuna.com.br/details/5489220352,ok
Analista Pleno de Dados (Data Analyst) | Digital,,,,Não informado,,,https://www.adzuna.com.br/details/5656629629,ok
