Titulo,Link,Data_Coleta,Fonte,Area_Atuacao,Senioridade,Modalidade_Trabalho,Tipo_Macro,Categoria,Skills,Skills_Str,Salario_Min,Salario_Max,Salario_Medio,Tem_Salario_Declarado,Data_Coleta_Str
Especialista de Produtos de Dados (Cientista de Dados),https://www.adzuna.com.br/land/ad/5729422899,2026-06-11,adzuna,Ciência de Dados,Especialista,Não Informado,Vaga Efetiva CLT/PJ,Ciência de Dados,[],Não especificado,,,,False,2026-06-11
Arquiteto de Dados,https://www.adzuna.com.br/land/ad/5744063420,2026-06-11,adzuna,Governança & Arquitetura,Não Especificado,Não Informado,Vaga Efetiva CLT/PJ,Governança & Arquitetura,[],Não especificado,,,,False,2026-06-11
Analista de dados,https://www.adzuna.com.br/land/ad/5758781191,2026-06-11,adzuna,Análise de Dados / BI,Não Especificado,Não Informado,Vaga Efetiva CLT/PJ,Análise de Dados / BI,[],Não especificado,,,,False,2026-06-11
Especialista de Dados,https://www.adzuna.com.br/land/ad/5732487135,2026-06-11,adzuna,Especialista / Lead,Especialista,Não Informado,Vaga Efetiva CLT/PJ,Especialista / Lead,[],Não especificado,,,,False,2026-06-11
Engenheiro de dados,https://www.adzuna.com.br/land/ad/5753411603,2026-06-11,adzuna,Engenharia de Dados,Não Especificado,Não Informado,Vaga Efetiva CLT/PJ,Engenharia de Dados,[],Não especificado,,,,False,2026-06-11
Cientista de Dados,https://www.adzuna.com.br/land/ad/5755633050,2026-06-11,adzuna,Ciência de Dados,Não Especificado,Não Informado,Vaga Efetiva CLT/PJ,Ciência de Dados,[],Não especificado,,,,False,2026-06-11
ESPECIALISTA BI [BANCO DE DADOS E ENGENHARIA DE DADOS],https://www.adzuna.com.br/land/ad/5716669285,2026-06-11,adzuna,Engenharia de Dados,Especialista,Não Informado,Vaga Efetiva CLT/PJ,Engenharia de Dados,[],Não especificado,,,,False,2026-06-11
Analista de dados Pleno,https://www.adzuna.com.br/land/ad/5756539853,2026-06-11,adzuna,Análise de Dados / BI,Pleno,Não Informado,Vaga Efetiva CLT/PJ,Análise de Dados / BI,[],Não especificado,,,,False,2026-06-11
Engenheiro de Dados Sênior,https://www.adzuna.com.br/land/ad/5732487127,2026-06-11,adzuna,Engenharia de Dados,Sênior,Não Informado,Vaga Efetiva CLT/PJ,Engenharia de Dados,[],Não especificado,,,,False,2026-06-11
Consultor Dados - EQuIS,https://www.adzuna.com.br/land/ad/5730227513,2026-06-11,adzuna,Geral de Dados,Especialista,Não Informado,Vaga Efetiva CLT/PJ,Geral de Dados,[],Não especificado,,,,False,2026-06-11
Analista de Dados e Growth,https://www.adzuna.com.br/land/ad/5756811635,2026-06-11,adzuna,Análise de Dados / BI,Não Especificado,Não Informado,Vaga Efetiva CLT/PJ,Análise de Dados / BI,[],Não especificado,,,,False,2026-06-11
